[info] [2021-12-03T06:20:20.077Z] : Service start.
[warn] [2021-12-03T06:20:20.082Z] : Service start warn.
[error] [2021-12-03T06:20:20.083Z] : Service start error.
[info] [2021-12-03T06:22:06.262Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:06.778Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:07.297Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:07.813Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:08.329Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:08.832Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:09.350Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:09.867Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:10.373Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:10.878Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:11.386Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:11.894Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:12.410Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:12.917Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:13.428Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:13.931Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:14.444Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:14.951Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:15.456Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:15.960Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:16.464Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:16.976Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:17.486Z] : Vehicle ch_agv_2 at LM3, vehicle status is 0; system intentStatus is 2
